source,function,overlay,matching_build_body,byte_status,retail_address,retail_bytes,compiled_code_bytes,native_owner,linked_source,compiled_sha256,retail_sha256,unresolved_reason
src/slus_006.64/psyq/libapi/WaitEvent.c,WaitEvent,slus_006.64,C,SIZE_DIFFERENT,0x8004e564,16,12,PORT_REPLACEMENT,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/extern/PsyCross/src/psx/LIBAPI.C:373,,,
src/slus_006.64/main/main.c,func_80019578,slus_006.64,C,BYTE_IDENTICAL,0x80019578,1004,1004,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main.c:46,36fbc9950ec2422c323017c1e1f0320d78d95103773176dadb5875f20e949d67,36fbc9950ec2422c323017c1e1f0320d78d95103773176dadb5875f20e949d67,
src/slus_006.64/main/main_loop.c,ChangeGameState,slus_006.64,C,BYTE_IDENTICAL,0x8001996c,96,96,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main_loop.c:39,7a44079eabab6682ed1a38c1846edcfac2ac132ba1328a85ca5b118542da108c,7a44079eabab6682ed1a38c1846edcfac2ac132ba1328a85ca5b118542da108c,
src/slus_006.64/main/main_loop.c,LoadGameStateOverlay,slus_006.64,C,BYTE_IDENTICAL,0x800199cc,256,256,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main_loop.c:50,b3fb7e6f8eae419fb23bfa6edb8347a04cbd71e1260099e84531ca40078ef384,b3fb7e6f8eae419fb23bfa6edb8347a04cbd71e1260099e84531ca40078ef384,
src/slus_006.64/main/main_loop.c,MainLoop,slus_006.64,C,BYTE_IDENTICAL,0x80019acc,352,352,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main_loop.c:85,987da575ea1a2df4dc86fc5bfe1ba1b2916dc5d4fc464dcf5912f550d193ff51,987da575ea1a2df4dc86fc5bfe1ba1b2916dc5d4fc464dcf5912f550d193ff51,
src/slus_006.64/main/main_loop.c,GameHandleError,slus_006.64,C,BYTE_IDENTICAL,0x80019ef8,748,748,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main_loop.c:259,d8d73e18af8e9c69e0f6c1be878bee534e7080daa6aa512a55b8d1ec3ae51306,d8d73e18af8e9c69e0f6c1be878bee534e7080daa6aa512a55b8d1ec3ae51306,
src/slus_006.64/main/main_loop.c,HeapResetUser,slus_006.64,C,BYTE_IDENTICAL,0x80019c7c,36,36,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main_loop.c:163,a82ba34e695f4541aec82356f44ba04431a7791099676a27af61a68139377e51,a82ba34e695f4541aec82356f44ba04431a7791099676a27af61a68139377e51,
src/slus_006.64/main/main_loop.c,func_80019C2C,slus_006.64,C,BYTE_IDENTICAL,0x80019c2c,80,80,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main_loop.c:154,cad9ca5935556f194ed4a77f6b73b6d46c8c47e47a591bb2629d6cc4622bc1a9,cad9ca5935556f194ed4a77f6b73b6d46c8c47e47a591bb2629d6cc4622bc1a9,
src/slus_006.64/main/main_loop.c,GameCheckAndHandleSoftReset,slus_006.64,C,BYTE_IDENTICAL,0x80019ca0,48,48,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main_loop.c:167,739d9f658a28921600dee0ee42e0c999b6bf70827b7719e8fe85a7f9876f9940,739d9f658a28921600dee0ee42e0c999b6bf70827b7719e8fe85a7f9876f9940,
src/slus_006.64/main/main_loop.c,GameSoftReset,slus_006.64,C,BYTE_IDENTICAL,0x80019cd0,120,120,SAME_SOURCE_LINKED,/var/home/blizz/Projects/xenogears-decomp-ai/src/slus_006.64/main/main_loop.c:173,f65bb1916938677a800e72c22b4ef636ef8ffbb4bacd96996103c51969bc841f,f65bb1916938677a800e72c22b4ef636ef8ffbb4bacd96996103c51969bc841f,
