source,classification,matching_mips_byte_verification
pc_port/src/krom_rom.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/krom_mapping.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/psx_memory.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/battle_mips_adapter.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/battle_mips_runtime.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/guest_prim_link.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/model_prim_link.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/model_prim_ed20.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/test_input.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/quick_checkpoint_file.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/quick_checkpoint.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/field_pos_diag.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/field_warp_diag.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/game_overrides.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/retail_leaf_adapters.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/boot_menu.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/boot_str.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/boot_assets.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/boot_sound_banks.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/boot_sound_commit.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/movie_player.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/pc_file_io.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/controller_vblank_helpers.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/controller_vblank_dispatch.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/controller_vblank_service.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/field_object_overlay.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/field_party_gear.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/field_timed_commands.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/field_clip_prelude.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/field_clip_control.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/field_clip_data.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/sprite_constructor.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_init.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_frame_driver.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_image_transfer_25044.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
