overlay,function,retail_address,retail_bytes
battle,func_80080AE4,0x80080ae4,128
battle,func_80070E2C,0x80070e2c,132
battle,func_80070EB0,0x80070eb0,44
battle,func_80070EDC,0x80070edc,100
battle,func_800841E0,0x800841e0,872
battle,func_80084750,0x80084750,260
battle,func_80084854,0x80084854,552
battle,func_80084B40,0x80084b40,488
battle,func_80085388,0x80085388,204
battle,func_80085454,0x80085454,452
battle,func_80085618,0x80085618,1196
battle,func_80085AC4,0x80085ac4,148
battle,func_80085D34,0x80085d34,324
battle,func_80085EB4,0x80085eb4,372
battle,func_8008860C,0x8008860c,624
battle,func_8008887C,0x8008887c,276
battle,func_80088990,0x80088990,496
battle,func_8008AAA0,0x8008aaa0,172
battle,func_8008AC50,0x8008ac50,56
battle,func_800AA898,0x800aa898,156
battle,func_800AE1BC,0x800ae1bc,100
battle,func_800AE220,0x800ae220,132
battle,func_800AF400,0x800af400,56
battle,func_800BEEB4,0x800beeb4,112
battle,func_800BEF24,0x800bef24,104
battle,func_800BEF8C,0x800bef8c,104
battle,func_800BEFF4,0x800beff4,192
battle,func_8007A874,0x8007a874,64
battle,func_8007A92C,0x8007a92c,60
battle,func_8007A968,0x8007a968,64
battle,func_8007AA60,0x8007aa60,88
battle,func_8007AC80,0x8007ac80,92
battle,func_8007AEF0,0x8007aef0,108
battle,func_8007BA04,0x8007ba04,64
battle,func_8007BA44,0x8007ba44,68
battle,func_8007BAE8,0x8007bae8,68
battle,func_8007D0CC,0x8007d0cc,124
battle,func_8007D1A8,0x8007d1a8,52
battle,func_8007D344,0x8007d344,308
battle,func_8007D478,0x8007d478,312
battle,func_8007D5B0,0x8007d5b0,96
battle,func_8007D610,0x8007d610,152
battle,func_8007E740,0x8007e740,64
battle_command_file1,xeno_battle_command_file1_wrapper_71D4,0x801e71d4,92
battle_command_file1,xeno_battle_command_file1_wrapper_7230,0x801e7230,72
battle_command_file1,func_battle_command_file1_801E7278,0x801e7278,156
battle_command_file1,func_battle_command_file1_801E7314,0x801e7314,68
battle_command_file1,func_battle_command_file1_801E7358,0x801e7358,20
battle_command_file1,func_battle_command_file1_801E736C,0x801e736c,20
battle_command_file1,func_battle_command_file1_801E7380,0x801e7380,84
battle_command_file1,func_battle_command_file1_801E73D4,0x801e73d4,80
battle_command_file1,func_battle_command_file1_801E7424,0x801e7424,72
battle_command_file1,func_battle_command_file1_801E746C,0x801e746c,32
battle_command_file1,func_battle_command_file1_801E748C,0x801e748c,20
battle_command_file1,func_battle_command_file1_801E74A0,0x801e74a0,24
battle_command_file1,func_battle_command_file1_801E74B8,0x801e74b8,40
battle_command_file1,func_battle_command_file1_801E74E0,0x801e74e0,272
battle_command_file1,func_battle_command_file1_801E75F0,0x801e75f0,112
battle_command_file1,func_battle_command_file1_801E7660,0x801e7660,36
battle_command_file1,func_battle_command_file1_801E7684,0x801e7684,124
battle_command_file1,func_battle_command_file1_801E7700,0x801e7700,92
battle_command_file1,func_battle_command_file1_801E775C,0x801e775c,20
battle_command_file1,func_battle_command_file1_801E7770,0x801e7770,116
battle_command_file1,func_battle_command_file1_801E77E4,0x801e77e4,136
battle_command_file1,func_battle_command_file1_801E786C,0x801e786c,60
battle_command_file1,func_battle_command_file1_801E78A8,0x801e78a8,108
battle_command_file1,func_battle_command_file1_801E7914,0x801e7914,204
battle_command_file1,func_battle_command_file1_801E79E0,0x801e79e0,124
battle_command_file1,func_battle_command_file1_801E7A5C,0x801e7a5c,172
battle_command_file1,func_battle_command_file1_801E7B08,0x801e7b08,36
battle_command_file1,func_battle_command_file1_801E7B2C,0x801e7b2c,44
battle_command_file1,func_battle_command_file1_801E7B58,0x801e7b58,180
battle_command_file1,func_battle_command_file1_801E7C0C,0x801e7c0c,196
battle_command_file1,func_battle_command_file1_801E7CD0,0x801e7cd0,276
battle_command_file1,func_battle_command_file1_801E7DE4,0x801e7de4,48
battle_command_file1,func_battle_command_file1_801E7E14,0x801e7e14,72
battle_command_file1,func_battle_command_file1_801E7E5C,0x801e7e5c,72
battle_command_file1,func_battle_command_file1_801E7EA4,0x801e7ea4,100
battle_command_file1,func_battle_command_file1_801E7F08,0x801e7f08,104
battle_command_file1,func_battle_command_file1_801E7F70,0x801e7f70,132
battle_command_file1,func_battle_command_file1_801E7FF4,0x801e7ff4,128
