function,matching_C_candidates,matching_ASM_candidates,linked_source
ArchiveCdDriveCommandHandler,src/slus_006.64/system/archive.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:597
CdFlush,src/slus_006.64/psyq/libcd/sys.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:598
ControllerInit,,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:599
ShopMenuSellEquipmentMenu,,src/shop_menu/main/misc9.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:600
ShopMenuSellMenu,,src/shop_menu/main/misc9.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:601
func_800716D8,,src/battle/main.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:602
func_80076A10,src/battle/main4.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:603
func_80076B68,src/battle/main5.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:604
func_80076BF0,src/battle/main5.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:605
func_80078508,,src/battle/main8.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:606
func_800785D4,,src/battle/main8.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:607
func_80078658,,src/battle/main8.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:608
func_800787E0,,src/battle/main8.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:609
func_8007FB70,,src/battle/main31.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:610
func_8007FDEC,src/battle/main32.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:611
func_800800E8,src/battle/main33.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:612
func_80089038,,src/battle/main40_p2.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:613
func_80089110,,src/battle/main40_p2.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:614
func_800891E4,,src/battle/main40_p2.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:615
func_80089348,,src/battle/main40_p2.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:616
func_8008946C,,src/battle/main40_p2.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:617
func_8008963C,,src/battle/main40_p2.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:618
func_800897CC,,src/battle/main40_p2.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:619
func_8008A274,src/battle/main42.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:620
func_8008A3EC,,src/battle/main43.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:621
func_8008A684,,src/battle/main43.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:622
func_800941A4,,src/battle/main51.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:623
func_800A3490,,src/battle/main68.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:624
func_800A3514,,src/battle/main68.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:625
func_800A3578,,src/battle/main68.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:626
func_800A35C8,,src/battle/main68.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:627
func_800A9FF0,,src/battle/main70.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:628
func_800B1F6C,,src/battle/main77.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:629
func_800B7C34,,src/battle/mainc100.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:630
func_800B7E94,,src/battle/mainc100.c,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:631
func_800B8354,src/battle/main101.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:632
func_800BC2F0,src/battle/mainc114.c;src/battle/mainc114_p2.c,,/var/home/blizz/Projects/xenogears-decomp-ai/pc_port/build_native/stubs.c:633
