file,function,asm_lines
src/field/camera/camera_movement.c,func_800910C0,152
src/field/main/misc.c,func_8008B5D4,188
src/field/main/misc2.c,func_8007234C,24
src/field/main/misc4.c,func_800798BC,46
src/field/main/misc4.c,func_8007954C,118
src/field/main/misc4.c,func_800799D4,695
src/field/main/misc5.c,func_800A6C40,144
src/field/main/misc5.c,func_800A74F8,155
src/field/main/misc5.c,func_800A6998,182
src/field/main/misc5.c,func_800A7948,202
src/field/main/misc5.c,func_800A8BA4,210
src/field/main/misc5.c,func_800A7C58,455
src/field/main/misc6.c,func_800A1364,101
src/field/main/misc6.c,func_800A06E8,120
src/field/main/misc6.c,func_8009FEE4,165
src/field/main/misc6.c,func_800A0228,202
src/field/main/misc6.c,func_800A0FD8,240
src/field/main/misc7.c,func_80098430,51
src/field/main/misc7.c,func_8009AEE0,173
src/field/main/misc7.c,func_8009B398,189
src/field/main/misc7.c,func_80097A50,399
src/field/main/misc9.c,func_800AB748,58
src/field/main/misc9.c,func_800AC99C,129
src/field/main/misc9.c,func_800AC0F0,147
src/field/main/misc9.c,func_800ABA98,169
src/field/main/misc9.c,func_800AB808,173
src/field/main/misc9.c,func_800AC3AC,386
src/field/scripts/virtual_machine.c,func_800A3C8C,191
src/menu/main/misc.c,func_801D2484,8
src/menu/main/misc.c,func_801C8640,9
src/menu/main/misc.c,func_801DE29C,13
src/menu/main/misc.c,func_801E8018,13
src/menu/main/misc.c,func_801D1E80,14
src/menu/main/misc.c,func_801D1EB0,14
src/menu/main/misc.c,func_801C6D5C,15
src/menu/main/misc.c,func_801E8044,15
src/menu/main/misc.c,func_801D3444,19
src/menu/main/misc.c,func_801E91C4,20
src/menu/main/misc.c,func_801C8574,22
src/menu/main/misc.c,func_801E927C,22
src/menu/main/misc.c,func_801D28A8,23
src/menu/main/misc.c,func_801C851C,24
src/menu/main/misc.c,func_801DB340,25
src/menu/main/misc.c,func_801D11F0,28
src/menu/main/misc.c,func_801DBD4C,28
src/menu/main/misc.c,func_801D28FC,29
src/menu/main/misc.c,func_801D9F34,29
src/menu/main/misc.c,func_801D3674,30
src/menu/main/misc.c,func_801DA4A8,30
src/menu/main/misc.c,func_801E920C,30
src/menu/main/misc.c,func_801D13F8,31
src/menu/main/misc.c,func_801D1AAC,33
src/menu/main/misc.c,func_801DB02C,33
src/menu/main/misc.c,func_801D0ED4,36
src/menu/main/misc.c,func_801CE2B4,37
src/menu/main/misc.c,func_801D4EA0,37
src/menu/main/misc.c,func_801CE338,39
src/menu/main/misc.c,func_801DA518,43
src/menu/main/misc.c,func_801CE3C8,44
src/menu/main/misc.c,func_801DBDB4,46
src/menu/main/misc.c,func_801C80B8,49
src/menu/main/misc.c,func_801CE0CC,53
src/menu/main/misc.c,func_801E8EAC,53
src/menu/main/misc.c,func_801C5F10,59
src/menu/main/misc.c,func_801CE464,59
src/menu/main/misc.c,func_801C7B0C,64
src/menu/main/misc.c,func_801D3344,67
src/menu/main/misc.c,func_801D50EC,68
src/menu/main/misc.c,func_801E8DA8,68
src/menu/main/misc.c,func_801DC1D4,70
src/menu/main/misc.c,func_801CE198,75
src/menu/main/misc.c,func_801DC2CC,75
src/menu/main/misc.c,func_801CE540,76
src/menu/main/misc.c,func_801D12D4,76
src/menu/main/misc.c,func_801D9704,76
src/menu/main/misc.c,func_801E5058,79
src/menu/main/misc.c,func_801E76EC,81
src/menu/main/misc.c,func_801E1418,84
src/menu/main/misc.c,func_801C9270,86
src/menu/main/misc.c,func_801CB8AC,86
src/menu/main/misc.c,func_801D14FC,86
src/menu/main/misc.c,func_801D827C,87
src/menu/main/misc.c,func_801CDB1C,88
src/menu/main/misc.c,func_801D1D40,88
src/menu/main/misc.c,func_801D249C,88
src/menu/main/misc.c,func_801C57A4,89
src/menu/main/misc.c,func_801C81E0,89
src/menu/main/misc.c,func_801D5BA4,89
