excess_bytes	symbol	retail_bytes	built_bytes
116	func_80080A74	1232	1348
104	func_800A90B4	168	272
100	func_8009C5A8	1872	1972
84	func_800921E8	508	592
68	FieldInitializeParticlePrimitive	520	588
48	func_80091BBC	580	628
48	FieldFree	656	704
40	func_80081F80	628	668
36	func_800A8408	184	220
36	func_800924D4	204	240
36	func_800859DC	324	360
36	func_8007BAC0	1076	1112
28	func_800A5C40	1992	2020
28	func_80086078	120	148
28	func_8007B814	684	712
28	FieldZoomFadeEffectInitialize	744	772
24	func_8009B8E4	188	212
24	func_8008800C	396	420
24	func_8007254C	412	436
20	func_8008E718	324	344
16	func_800A6E70	500	516
16	func_8008EFE4	140	156
16	func_8008BDD8	352	368
16	func_80080968	104	120
16	func_8007A5C4	560	576
12	func_800A2030	636	648
12	func_80098370	192	204
12	func_80093930	112	124
12	func_80087E98	268	280
12	func_80085788	264	276
8	func_800AAA74	356	364
8	func_800A732C	104	112
8	func_8008F90C	300	308
8	func_8008CF3C	96	104
8	func_8008CDD4	144	152
8	func_8008AEC8	272	280
8	func_80087D80	96	104
8	func_80087148	104	112
8	func_80085634	68	76
8	func_8007B07C	328	336
8	func_8007AF74	264	272
8	func_80077E10	120	128
8	func_800771B0	72	80
8	func_8007469C	100	108
8	func_800726E8	848	856
4	func_800A7218	276	280
4	func_800A30FC	236	240
4	func_800A1624	268	272
4	func_800A14F0	308	312
4	func_8009A1E4	196	200
4	func_8009749C	292	296
4	func_80097108	248	252
4	func_80091E00	152	156
4	func_8008D26C	108	112
4	func_8008D0F4	140	144
4	func_8008A2E8	504	508
4	func_80088790	276	280
4	func_80088674	284	288
4	func_80088508	276	280
4	func_800855C8	108	112
4	func_8007E16C	84	88
4	func_8007B614	128	132
4	func_800705DC	1704	1708
4	FieldParticleRender	964	968
