deficit_bytes	symbol	retail_bytes	built_bytes
2004	func_8007E1C0	3148	1144
1656	func_800A3474	2072	416
1520	func_800A3F4C	2044	524
1276	func_80075B44	2416	1140
792	func_800748E8	2340	1548
736	func_8008004C	1448	712
736	func_80076AC0	1776	1040
620	func_800A28D4	1772	1152
548	func_8007CD80	1620	1072
512	func_8007BEF4	1916	1404
492	func_8007C694	1704	1212
452	func_8007F8DC	1804	1352
452	func_800764B4	1472	1020
448	FieldDistortionDraw	2060	1612
376	FieldTextBoxInitializePrimitives	1952	1576
340	func_80072D74	1212	872
336	func_800A08B8	916	580
328	func_8008399C	1980	1652
320	func_80081C54	776	456
316	func_80084A40	2704	2388
308	func_80077268	732	424
280	func_800815F0	1636	1356
276	func_8008D808	508	232
260	func_80082620	1432	1172
236	func_80083288	1804	1568
228	func_8007B1C4	692	464
224	func_8008B5D4	704	480
180	func_8007DCF8	468	288
176	func_8006FDEC	672	496
172	func_8008110C	1252	1080
164	func_800A24C4	592	428
152	func_80084158	2004	1852
152	FieldTextBoxInitialize	584	432
148	func_8009B398	716	568
132	func_8007F5AC	332	200
128	func_8009E574	668	540
120	func_800A0228	764	644
112	func_80086590	888	776
104	func_80099214	1900	1796
100	func_8008C180	436	336
100	FieldZoomFadeEffectUpdate	564	464
96	FieldActorCopyPlacement	496	400
92	func_8008764C	436	344
84	func_8007554C	964	880
80	func_800A73E8	272	192
76	func_80086A1C	396	320
76	FieldLoad	3484	3408
72	func_800A0524	452	380
72	func_8009F5F4	1036	964
68	func_80099AC0	1080	1012
68	func_80088C1C	220	152
64	func_800A0FD8	908	844
64	func_800739C0	1144	1080
60	func_800860F0	272	212
60	func_8007D3D4	1092	1032
56	func_80097864	240	184
56	func_80080F44	456	400
52	func_8009C154	996	944
52	func_8008B978	776	724
48	func_8008DA04	248	200
48	func_8007D8B4	136	88
44	func_80098A7C	388	344
44	func_8008861C	88	44
44	FieldScriptVMHandlerConditionalJmp	720	676
40	func_80091ADC	224	184
40	func_800821F4	392	352
36	func_800A7120	248	212
36	func_80098038	196	160
36	func_80077884	560	524
36	func_80073230	1108	1072
32	func_8009FA54	324	292
32	func_800862CC	284	252
32	func_80082BB8	1472	1440
32	func_80072A38	828	796
28	func_8008F0B4	276	248
28	func_800883D4	184	156
28	func_80087B5C	176	148
28	func_80077AB4	428	400
24	func_800977A4	192	168
24	func_80095124	172	148
24	func_800950A0	156	132
24	func_8009501C	156	132
24	func_800947B0	384	360
24	func_80092894	908	884
24	func_8008BC80	344	320
24	func_800871B0	532	508
20	func_80097954	156	136
20	func_800951B8	168	148
20	func_8008BF38	584	564
20	func_8008AACC	540	520
20	func_8008A7DC	352	332
20	func_80088B68	180	160
20	func_80073E38	280	260
16	func_800A0C94	168	152
16	func_8009BC98	448	432
16	func_80098CAC	1384	1368
16	func_8009640C	164	148
16	func_8008EA58	472	456
16	func_80074108	1428	1412
16	FieldLoadUITextures	444	428
12	func_800AC03C	180	168
12	func_800ABFDC	96	84
12	func_8009E810	44	32
12	func_800984EC	208	196
12	func_80098274	252	240
12	func_80098184	240	228
12	func_800980FC	136	124
12	func_80096214	172	160
12	func_80087AB8	164	152
12	func_80086C34	280	268
12	func_800864F0	160	148
12	func_80085678	192	180
12	func_8007F814	200	188
12	func_8007C670	36	24
12	func_800723E4	360	348
12	FieldProjectActorOriginToScreen	192	180
8	func_800A31E8	652	644
8	func_8009B210	296	288
8	func_800920D8	112	104
8	func_8008FC4C	244	236
8	func_8008EC30	484	476
8	func_8008D604	128	120
8	func_8008B45C	188	180
8	func_8008A148	252	244
8	func_8008A08C	188	180
8	func_800889BC	428	420
8	func_800882B8	168	160
8	func_80087C34	252	244
8	func_800831F4	148	140
8	func_8007B6C4	336	328
8	func_80078D44	1348	1340
8	func_800752C8	400	392
8	func_8007520C	188	180
8	func_80072254	160	152
8	FieldDistortionInitialize	1144	1136
4	func_800AA9DC	152	148
4	func_800A0EE8	240	236
4	func_8009BA7C	144	140
4	func_8009B9A0	108	104
4	func_8009B7A8	124	120
4	func_8009AEE0	636	632
4	func_8009AE3C	164	160
4	func_8009A34C	212	208
4	func_800975C0	232	228
4	func_80095284	124	120
4	func_80093014	484	480
4	func_80092C20	476	472
4	func_8008EE14	328	324
4	func_8008D180	176	172
4	func_80087FA4	48	44
4	func_80086470	68	64
4	func_800863E8	136	132
4	func_800809D0	72	68
4	func_8007F6F8	284	280
4	func_8007B478	412	408
4	func_8007AE78	252	248
4	func_80079288	708	704
4	func_80078BC8	148	144
4	func_80078B5C	108	104
4	FieldScriptMemoryWriteU16	28	24
4	FieldActorWorldToScreenPosition	204	200
