camera saved-state layout FAIL
g_CamAtMovementFrom: actual=10510312, expected=0x9c51ac
g_CamAtMovementTo: actual=10510344, expected=0x9c51bc
g_CamEyeMovementFrom: actual=10510472, expected=0x9c51cc
g_CamEyeMovementTo: actual=10510504, expected=0x9c51dc
D_800AF930: actual=10501616, expected=0x9c51ec
g_FieldCameraMode: actual=10510984, expected=0x9c51f0
D_800AF936: actual=10501648, expected=0x9c51f2
D_800AF938: actual=10501680, expected=0x9c51f4
g_CamMovementFlags: actual=10510568, expected=0x9c51f8
g_CamAtMovementDuration: actual=10510280, expected=0x9c51fa
g_CamAtMovementCurrent: actual=10510216, expected=0x9c51fc
g_CamAtMovementDelta: actual=10510248, expected=0x9c520c
g_CamEyeMovementDuration: actual=10510440, expected=0x9c521c
g_CamEyeMovementCurrent: actual=10510376, expected=0x9c5220
g_CamEyeMovementDelta: actual=10510408, expected=0x9c5230
g_CamInterpolation: actual=10510536, expected=0x9c5240
