slots,handler,retail_address,audit_class,source_kind,source_path,source_line,native_generated_stub,native_authored_stub,direct_generated_stub_calls,direct_authored_stub_calls,mips_comparison,retail_size,current_size,relocation_checks,source_conditionals,source_markers,detail
00,func_800A1B70,0x800A1B70,RETAIL_MIPS_MATCH,c,src/field/scripts/virtual_machine.c,118,False,False,,,match,96,96,6,,,normalized instructions and relocation targets match
01,FieldScriptVMHandlerJmp,0x800A1E74,RETAIL_MIPS_MATCH,c,src/field/scripts/virtual_machine.c,217,False,False,,,match,40,40,3,,,normalized instructions and relocation targets match
02,FieldScriptVMHandlerConditionalJmp,0x800A1BD0,C_NONMATCHING_UNPROVEN,c,src/field/scripts/virtual_machine.c,125,False,False,,,relocation_target_mismatch,676,676,32,,,"matching comparison: relocation_target_mismatch; relative=0x1a4 current={} retail={('R_MIPS_HI16', 'jtbl_8006FD58', 0): 1}"
03,func_8009C104,0x8009C104,RETAIL_MIPS_MATCH,c,src/field/dialogue/text_box.c,173,False,False,,,match,40,40,3,,,normalized instructions and relocation targets match
04,func_800A1A8C,0x800A1A8C,RETAIL_MIPS_MATCH,c,src/field/scripts/virtual_machine.c,103,False,False,,,match,228,228,11,,,normalized instructions and relocation targets match
05,func_800A17F4,0x800A17F4,RETAIL_MIPS_MATCH,c,src/field/scripts/virtual_machine.c,48,False,False,,,match,196,196,15,,,normalized instructions and relocation targets match
06,func_800A1730,0x800A1730,RETAIL_MIPS_MATCH,c,src/field/scripts/virtual_machine.c,32,False,False,,,match,196,196,15,,,normalized instructions and relocation targets match
07,func_8009EB78,0x8009EB78,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,492,False,False,,,match,496,496,24,,,normalized instructions and relocation targets match
08,func_8009ED68,0x8009ED68,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,523,False,False,,,match,824,824,34,,,normalized instructions and relocation targets match
09,func_8009F0A0,0x8009F0A0,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,575,False,False,,,match,900,900,36,,,normalized instructions and relocation targets match
0A,FieldScriptHandleTriggerZone2D,0x8009533C,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1559,False,False,,,match,484,484,26,,,normalized instructions and relocation targets match
0B,func_800A1624,0x800A1624,C_NONMATCHING_UNPROVEN,c,src/field/main/misc6.c,1589,False,False,,,size_mismatch,268,272,0,,,matching comparison: size_mismatch; current=272 retail=268
0C,func_8009F5A8,0x8009F5A8,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,682,False,False,,,match,76,76,7,,,normalized instructions and relocation targets match
0D,func_800A18B8,0x800A18B8,RETAIL_MIPS_MATCH,c,src/field/scripts/virtual_machine.c,64,False,False,,,match,248,248,16,,,normalized instructions and relocation targets match
0E,func_80092404,0x80092404,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,274,False,False,,,match,32,32,2,,,normalized instructions and relocation targets match
0F,func_800923E4,0x800923E4,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,270,False,False,,,match,32,32,2,,,normalized instructions and relocation targets match
10,func_80098C00,0x80098C00,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,624,False,False,,,match,60,60,3,,,normalized instructions and relocation targets match
11,func_80098C3C,0x80098C3C,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,629,False,False,,,match,112,112,6,,,normalized instructions and relocation targets match
12,func_80093200,0x80093200,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,705,False,False,,,match,208,208,23,,,normalized instructions and relocation targets match
13|FD|FF,FieldScriptVMHandlerNop,0x800A2FC0,RETAIL_MIPS_MATCH,c,src/field/scripts/virtual_machine.c,886,False,False,,,match,32,32,2,,,normalized instructions and relocation targets match
14,FieldScriptVMHandlerDisableRandomEncounters,0x80093C48,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,990,False,False,,,match,36,36,4,,,normalized instructions and relocation targets match
15,func_80093C6C,0x80093C6C,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,995,False,False,,,match,100,100,11,,,normalized instructions and relocation targets match
16,func_800A08B8,0x800A08B8,C_NONMATCHING_UNPROVEN,c,src/field/main/misc6.c,1244,False,False,,,size_mismatch,916,580,0,,,matching comparison: size_mismatch; current=580 retail=916
17,func_8009E91C,0x8009E91C,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,453,False,False,,,match,556,556,47,,,normalized instructions and relocation targets match
18,func_8009E83C,0x8009E83C,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,409,False,False,,,match,224,224,18,,,normalized instructions and relocation targets match
19,func_8009E4BC,0x8009E4BC,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,301,False,False,,,match,184,184,13,,,normalized instructions and relocation targets match
1A,func_8009E428,0x8009E428,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,289,False,False,,,match,148,148,11,,,normalized instructions and relocation targets match
1B,func_8009E35C,0x8009E35C,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,278,False,False,,,match,204,204,13,,,normalized instructions and relocation targets match
1C,func_8009E2C8,0x8009E2C8,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,267,False,False,,,match,104,104,8,,,normalized instructions and relocation targets match
1D,func_8009E248,0x8009E248,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,257,False,False,,,match,128,128,7,,,normalized instructions and relocation targets match
1E,func_8009E208,0x8009E208,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,249,False,False,,,match,64,64,2,,,normalized instructions and relocation targets match
1F,func_8009E1A0,0x8009E1A0,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,235,False,False,,,match,104,104,4,,,normalized instructions and relocation targets match
20,func_8009E10C,0x8009E10C,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,218,False,False,,,match,148,148,3,,,normalized instructions and relocation targets match
21,func_8009E094,0x8009E094,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,209,False,False,,,match,120,120,10,,,normalized instructions and relocation targets match
22,FieldScriptVMHandlerShowActor,0x8009DF10,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,178,False,False,,,match,104,104,6,,,normalized instructions and relocation targets match
23,FieldScriptVMHandlerHideActor,0x8009E040,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,202,False,False,,,match,84,84,6,,,normalized instructions and relocation targets match
24,FieldScriptVMHandlerShowActorById,0x8009DDEC,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,155,False,False,,,match,168,168,6,,,normalized instructions and relocation targets match
25,FieldScriptVMHandlerHideActorById,0x8009DE94,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,168,False,False,,,match,124,124,6,,,normalized instructions and relocation targets match
26,FieldScriptVMHandlerSleep,0x8009DD34,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,133,False,False,,,match,184,184,10,NPC_EVENT_MUTANT_NO_IP,,normalized instructions and relocation targets match
27,func_8009DC4C,0x8009DC4C,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,109,False,False,,,match,232,232,9,,,normalized instructions and relocation targets match
28,FieldScriptVMHandlerEnableActorVM,0x8009DBC8,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,99,False,False,,,match,132,132,6,,,normalized instructions and relocation targets match
29,func_8009DAC4,0x8009DAC4,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,81,False,False,,,match,260,260,12,,,normalized instructions and relocation targets match
2A,FieldScriptVMHandlerDisableDialogActivation,0x8009DA1C,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,61,False,False,,,match,40,40,2,,,normalized instructions and relocation targets match
2B,FieldScriptVMHandlerEnableDialogActivation,0x8009DA44,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,66,False,False,,,match,44,44,2,,,normalized instructions and relocation targets match
2C,FieldScriptVMHandlerPlayAnimation,0x8009A130,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1194,False,False,,,match,68,68,4,,,normalized instructions and relocation targets match
2D,FieldScriptVMHandlerGetActorPosition,0x8009A024,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1179,False,False,,,match,216,216,15,,,normalized instructions and relocation targets match
2E,FieldScriptVMHandlerGetActorDirection,0x80099FC4,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1168,False,False,,,match,96,96,6,,,normalized instructions and relocation targets match
2F,FieldScriptVMWriteCurCharacterID,0x80099EF8,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1148,False,False,,,match,80,80,6,,,normalized instructions and relocation targets match
30,FieldScriptVMWritePartyLeaderCharacterID,0x80099F48,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1156,False,False,,,match,124,124,8,FIELD_VM_AUDIT_MUTANT_LEADER_CURRENT_ACTOR,,normalized instructions and relocation targets match
31,func_800961A0,0x800961A0,RETAIL_MIPS_MATCH,c,src/field/main/input_script_handlers.c,39,False,False,,,match,40,40,3,,,normalized instructions and relocation targets match
32,func_800961C8,0x800961C8,RETAIL_MIPS_MATCH,c,src/field/main/input_script_handlers.c,43,False,False,,,match,40,40,3,,,normalized instructions and relocation targets match
33,func_800961F0,0x800961F0,RETAIL_MIPS_MATCH,c,src/field/main/input_script_handlers.c,47,False,False,,,match,36,36,4,,,normalized instructions and relocation targets match
34,func_80096214,0x80096214,C_NONMATCHING_UNPROVEN,c,src/field/main/misc10.c,12,False,False,,,size_mismatch,172,160,0,,,matching comparison: size_mismatch; current=160 retail=172
35,FieldScriptVMHandlerVariableAssign,0x8009D9A4,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,262,False,False,,,match,120,120,9,,,normalized instructions and relocation targets match
36,FieldScriptVMHandlerVariableSetTrue,0x8009D960,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,254,False,False,,,match,68,68,4,,,normalized instructions and relocation targets match
37,FieldScriptVMHandlerVariableSetFalse,0x8009D91C,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,246,False,False,,,match,68,68,4,,,normalized instructions and relocation targets match
38,FieldScriptVMHandlerVariableAdd,0x8009D890,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,235,False,False,,,match,140,140,11,,,normalized instructions and relocation targets match
39,FieldScriptVMHandlerVariableSub,0x8009D804,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,224,False,False,,,match,140,140,11,,,normalized instructions and relocation targets match
3A,FieldScriptVMHandlerVariableSetBit,0x8009D644,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,183,False,False,,,match,148,148,11,,,normalized instructions and relocation targets match
3B,FieldScriptVMHandlerVariableUnsetBit,0x8009D408,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,139,False,False,,,match,152,152,11,,,normalized instructions and relocation targets match
3C,FieldScriptVMHandlerIncVariable,0x8009D340,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,123,False,False,,,match,100,100,6,,,normalized instructions and relocation targets match
3D,FieldScriptVMHandlerDecVariable,0x8009D3A4,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,131,False,False,,,match,100,100,6,,,normalized instructions and relocation targets match
3E,FieldScriptVMHandlerVariableAND,0x8009D5B8,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,172,False,False,,,match,140,140,11,,,normalized instructions and relocation targets match
3F,FieldScriptVMHandlerVariableOR,0x8009D52C,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,161,False,False,,,match,140,140,11,,,normalized instructions and relocation targets match
40,FieldScriptVMHandlerVariableXOR,0x8009D4A0,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,150,False,False,,,match,140,140,11,,,normalized instructions and relocation targets match
41,FieldScriptVMHandlerLShiftVariable,0x8009D2D0,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,112,False,False,,,match,112,112,7,,,normalized instructions and relocation targets match
42,FieldScriptVMHandlerRShiftVariable,0x8009D260,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,101,False,False,,,match,112,112,7,,,normalized instructions and relocation targets match
43,FieldScriptVMHandlerRandVariable,0x8009D198,RETAIL_MIPS_MATCH,c,src/field/scripts/variable_handlers.c,81,False,False,,,match,88,88,5,,,normalized instructions and relocation targets match
44,func_80098184,0x80098184,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,396,False,False,,,size_mismatch,240,228,0,,,matching comparison: size_mismatch; current=228 retail=240
45,func_80097864,0x80097864,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,158,False,False,,,size_mismatch,240,184,0,,,matching comparison: size_mismatch; current=184 retail=240
46,func_80092808,0x80092808,C_NONMATCHING_UNPROVEN,c,src/field/main/misc11.c,355,False,False,,,code_mismatch,140,140,2,,,matching comparison: code_mismatch; relative=0x8 current=27bdffe0 retail=27bdffe8 mask=ffffffff
47,func_80092EA0,0x80092EA0,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,545,False,False,,,match,164,164,15,,,normalized instructions and relocation targets match
48,func_80093CD0,0x80093CD0,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1009,False,False,,,match,120,120,8,,,normalized instructions and relocation targets match
49,func_80093D48,0x80093D48,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1025,False,False,,,match,232,232,16,,,normalized instructions and relocation targets match
4A,func_80099980,0x80099980,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,967,False,False,,,match,132,132,5,,,normalized instructions and relocation targets match
4B,func_80098430,0x80098430,PORT_OVERRIDE_UNPROVEN,native_c_override,src/field/main/misc7.c,476,False,False,,,match,188,188,9,else(ifdef XENO_PC_PORT)|ifdef XENO_PC_PORT,,native conditional body replaces retail fallback
4C,func_800979F0,0x800979F0,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,192,False,False,,,code_mismatch,96,96,2,,,matching comparison: code_mismatch; relative=0x1c current=00621821 retail=00431021 mask=ffffffff
4D,func_80097954,0x80097954,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,179,False,False,,,size_mismatch,156,136,0,,,matching comparison: size_mismatch; current=136 retail=156
4E,func_80098370,0x80098370,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,450,False,False,,,size_mismatch,192,204,0,,,matching comparison: size_mismatch; current=204 retail=192
4F,func_80098274,0x80098274,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,423,False,False,,,size_mismatch,252,240,0,,,matching comparison: size_mismatch; current=240 retail=252
50,func_800977A4,0x800977A4,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,139,False,False,,,size_mismatch,192,168,0,,,matching comparison: size_mismatch; current=168 retail=192
51,func_800976A8,0x800976A8,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,120,False,False,,,match,252,252,11,,,normalized instructions and relocation targets match
52,func_800980FC,0x800980FC,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,384,False,False,,,size_mismatch,136,124,0,,,matching comparison: size_mismatch; current=124 retail=136
53,func_80098038,0x80098038,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,365,False,False,,,size_mismatch,196,160,0,,,matching comparison: size_mismatch; current=160 retail=196
54,func_800975C0,0x800975C0,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,100,False,False,,,size_mismatch,232,228,0,,,matching comparison: size_mismatch; current=228 retail=232
55,func_8009749C,0x8009749C,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,64,False,False,,,size_mismatch,292,296,0,,,matching comparison: size_mismatch; current=296 retail=292
