800ba960 core=000000097800302dad003400cf3d887c retail=1200a297780030ae840022a63000bf8f
800ba970 core=b2003400d43d1200ad003a00cf43e003 retail=2c00b18f2800b08f3800bd270800e003
800ba980 core=b2003a00d443bd27206a6d0921a8a02d retail=00000000a8ffbd274400b5af21a8a000
800ba990 core=a2003400cf3d887ca8003400d53d1200 retail=4800b6af21b0c0004000b4af21a0e000
800ba9a0 core=a2003a00cf430424a8003a00d543b2af retail=5800a4af9c010424212800003800b2af
800ba9b0 core=486a6d090c80062d9c003400ce3d887c retail=6800b28f0c80063c3c00b3af6c00b38f
800ba9c0 core=a2003400d43d12009c003a00ce43a88f retail=50acc6244c00b7af7000b78f7400a88f
800ba9d0 core=a2003a00d443beaf706a6d090cabe72d retail=0c80073c5000beaf7c00be8f0cabe724
800ba9e0 core=97003400cf3d887c9d003400d53d1200 retail=2000a8af7800a88f0c80023c2400a8af
800ba9f0 core=97003a00cf4342249d003a00d543b1af retail=8000a88fdcab42245400bfaf3400b1af
800baa00 core=986a6d091000a22da4002a00ce34887c retail=3000b0af1000a2af7674000c2800a8af
800baa10 core=a9002a00d3341200a4003200ce3c1500 retail=21884000380030262120000200ac1500
800baa20 core=a9003200d33c1600c06a6d0900a4142d retail=0334150000b41600033c160000a41400
800baa30 core=9f002c00cf3d887ca5002c00d53d1200 retail=03a4140000941200039412005800a58f
800baa40 core=9f003200cf4330aea5003200d54320ae retail=009c1300040030ae200030ae1c0020ae
800baa50 core=e86a6d09039c132d9a002a00ce34887c retail=8c00a88f039c13001000b4af1400b2af
800baa60 core=a0002a00d43412009a003200ce3c0002 retail=1800b3afbd90000c1c00a8af21200002
800baa70 core=a0003200d43c1700106b6d093800372d retail=0020052400bc17006c0011ae380037ae
800baa80 core=96002c00ce3d887c9b002c00d33d1200 retail=2000a88f3c00038e00140800040002ae
800baa90 core=96003200ce4363349b003200d34302ae retail=2400a88f0400633400140800080002ae
800baaa0 core=386b6d09b000022da8003400cf34887c retail=2110c003b00002a22800a8973c0003ae
800baab0 core=ad003400d4341200a8003c00cf3c1e00 retail=0088000c320008a62120000200141e00
800baac0 core=ad003c00d43c0224606b6d097691002d retail=032c020000200224820082a47691000c
800baad0 core=91003200cf34887c97003200d5341200 retail=780080ac211020025400bf8f5000be8f
800baae0 core=91003a00cf3cb68f97003a00d53cb48f retail=4c00b78f4800b68f4400b58f4000b48f
800baaf0 core=886b6d093800b22d90002a00ce34887c retail=3c00b38f3800b28f3400b18f3000b08f
800bab00 core=96002a00d434120090003200ce3c023c retail=5800bd270800e003000000000c80023c
800bab10 core=96003200d43cbd273800bfaf3400b1af retail=64364290c0ffbd273800bfaf3400b1af
