[vm-trace] actor=0 ip=0 op=BC args=fe 52 fe 50
[vm-trace] actor=0 ip=1 op=FE52 args=fe 50 2a fe
[vm-trace] actor=0 ip=3 op=FE50 args=2a fe 80 00
[vm-trace] actor=0 ip=5 op=2A args=fe 80 00 02
[vm-trace] actor=0 ip=6 op=FE80 args=00 02 00 00
[vm-trace] actor=0 ip=22 op=FE81 args=00 00 00 00
[vm-trace] actor=0 ip=31 op=FE82 args=00 80 00 80
[vm-trace] actor=0 ip=57 op=FEE0 args=01 00 99 9b
[vm-trace] actor=0 ip=60 op=00 args=99 9b 00 80
[vm-trace] actor=0 ip=61 op=99 args=9b 00 80 00
[vm-trace] actor=0 ip=62 op=9B args=00 80 00 80
[vm-trace] actor=0 ip=67 op=61 args=00 00 00 00
[vm-trace] actor=0 ip=75 op=63 args=00 00 00 00
[vm-trace] actor=0 ip=83 op=65 args=00 00 00 fc
[vm-trace] actor=0 ip=91 op=A3 args=00 00 00 fc
[vm-trace] actor=0 ip=99 op=AC args=80 00 80 ac
[vm-trace] actor=0 ip=103 op=AC args=81 00 80 26
[vm-trace] actor=0 ip=107 op=26 args=20 80 c6 fe
[vm-trace] actor=0 ip=110 op=C6 args=fe 86 00 31
[vm-trace] actor=0 ip=111 op=FE86 args=00 31 20 00
[vm-trace] actor=0 ip=114 op=31 args=20 00 7a 00
[vm-trace] actor=0 ip=122 op=3C args=04 04 02 04
[vm-trace] actor=0 ip=125 op=02 args=04 04 c0 03
[vm-trace] actor=0 ip=151 op=26 args=00 80 01 6e
[vm-trace] actor=0 ip=154 op=01 args=6e 00 37 04
[vm-trace] actor=0 ip=110 op=C6 args=fe 86 00 31
[vm-trace] actor=0 ip=111 op=FE86 args=00 31 20 00
[vm-trace] actor=0 ip=114 op=31 args=20 00 7a 00
[vm-trace] actor=0 ip=122 op=3C args=04 04 02 04
[vm-trace] actor=0 ip=125 op=02 args=04 04 c0 03
[vm-trace] actor=0 ip=151 op=26 args=00 80 01 6e
[vm-trace] actor=0 ip=154 op=01 args=6e 00 37 04
[vm-trace] actor=0 ip=110 op=C6 args=fe 86 00 31
[vm-trace] actor=0 ip=111 op=FE86 args=00 31 20 00
[vm-trace] actor=0 ip=114 op=31 args=20 00 7a 00
[vm-trace] actor=0 ip=122 op=3C args=04 04 02 04
[vm-trace] actor=0 ip=125 op=02 args=04 04 c0 03
[vm-trace] actor=0 ip=151 op=26 args=00 80 01 6e
[vm-trace] actor=0 ip=154 op=01 args=6e 00 37 04
[vm-trace] actor=0 ip=110 op=C6 args=fe 86 00 31
