block_id,va_start,va_end,successors
entry,0x80094A5C,0x80094B70,"tail(t0>=11); dispatch(t0<11)"
dispatch,0x80094B74,0x80094B88,"JR[t0]: tail(0,3,7); c1(1); c2(2); c4(4); c8(8); c5(5); c6(6); c9(9); c10(10)"
c1,0x80094B90,0x80094BA8,tail
c2,0x80095104,0x80095120,tail
c4,0x80094BB0,0x80094BC8,tail
c8,0x80094BD0,0x80094BE8,tail
c5_setup,0x80094BF0,0x80094CA4,"c5_vneg(v<0); c5_vge(v>=0)"
c5_vneg,0x80094CAE,0x80094CD0,"ret(first!=0); tail"
c5_vge,0x80094CF0,0x80094D28,"c5_vzero(v==0); c5_vpos(v>0)"
c5_vzero,0x80094D30,0x80094D34,tail
c5_vpos,0x80094D04,0x80094D28,"ret(first!=0); tail"
c6_setup,0x80094D4C,0x80094E04,"c6_vpos(v>0); c6_vle(v<=0)"
c6_vpos,0x80094E08,0x80094E40,"ret(first!=0); tail"
c6_vle,0x80094E48,0x80094E7C,"c6_vzero(v==0); c6_vneg(v<0)"
c6_vzero,0x8009510C,0x80095120,tail
c6_vneg,0x80094E4C,0x80094E7C,"ret(first!=0); tail"
c9_setup,0x80094E84,0x80094F38,"c9_vpos(v>0); c9_vle(v<=0)"
c9_vpos,0x80094F3C,0x80094F74,"ret(first!=0); tail"
c9_vle,0x80094F7C,0x80094FBC,"c9_vzero(v==0); c9_vneg(v<0)"
c9_vzero,0x80094FC0,0x80094FD4,tail
c9_vneg,0x80094F80,0x80094FBC,"ret(first!=0); tail"
c10_setup,0x80094FD8,0x80095080,"c10_vneg(v<0); c10_vge(v>=0)"
c10_vneg,0x8009508C,0x800950C4,"ret(first!=0); tail"
c10_vge,0x800950CC,0x80095118,"c10_vzero(v==0); c10_vpos(v>0)"
c10_vzero,0x80095118,0x80095120,tail
c10_vpos,0x800950D0,0x80095118,"ret(first!=0); tail"
tail,0x80095124,0x80095182,"ret(a2!=0); ret_blocked; copy+ret1"
ret,0x80095184,0x800951A0,exit
