site,callee,notes
0x8008C970,wm_80090C68,init class tree; a0=slot; only when lbu 0x8006F8E5==1
0x8008C9D8,wm_80093F18,class 4; a0=slot+0x28
0x8008C9E8,wm_80094060,class 4; a0=1 a1=(s16)93F18; low16==0 holds
0x8008CA44,func_800245D8,idle vel-zero AF!=0; a1=0
0x8008CA4C,wm_800894C8,idle; a0=0x2C
0x8008CA74,func_800245D8,moving AF!=1; a1=1
0x8008CA84,wm_8008C1DC,moving; a0=0x2C
0x8008CAB4,wm_80095414,movement; scale=lh+0x4A<<12; mode=MODE_FLAG; full-word r
0x8008CB04,wm_80095414,retry after r==0 copies scratch+0x90..+0x9C
0x8008CB44,wm_8008C040,r==1; a1=0x18 a2=0x30
0x8008CC14,wm_8007528C,ring append
0x8008CC3C,wm_8008C040,r!=1; vec=slot+0x28; a1=0x18 a2=0x30
0x8008CC48,wm_80094238,a1=1
0x8008CCBC,func_800245D8,resync!=1 AF!=3; a1=3
0x8008CCC4,wm_800894C8,resync!=1; a0=0x2C
0x8008CD30,wm_80097770,state 8 busy2==1; (5,1) hold
0x8008CD5C,wm_80097770,state 8 busy2!=1; (2,1)
0x8008CD7C,wm_80097770,state 8 busy2!=1; (5,8) delay-store pool+0x106
0x8008CDB8,wm_80097770,state 9 busy3==1; (6,1) hold
0x8008CDE4,wm_80097770,state 9 busy3!=1; (3,1)
0x8008CE04,wm_80097770,state 9 busy3!=1; (6,8) delay-store pool+0x186
0x8008CE38,wm_800941C4,state 0x0A vs pool+area*128+0x28
0x8008CE74,func_800245D8,state 0x0A; a1=1; falls into 0x0B
0x8008CE8C,wm_8008BEC8,state 0x0B
0x8008CEF0,wm_8008C1DC,state 0x0B; a0=0x2C
0x8008CF08,wm_80097770,state 0x0C; (area,4)
0x8008CF24,wm_800894C8,state 0x0C; a0=0x2C
0x8008CFD4,wm_80097770,state 0x11; (5,5)
0x8008D000,wm_80097770,state 0x12; (6,5) then state 0x40
0x8008D074,wm_80089160,state 0x18 byte!=7; (5, scratch+0xA0, 0)
0x8008D0DC,func_800245D8,state 0x1A timer done; a1=3
0x8008D0FC,func_800245D8,state 0x20; a1=0; falls into 0x21
0x8008D118,wm_80097770,state 0x20 slot2 present; (5,2)
0x8008D134,wm_80097770,state 0x20 slot3 present; (6,2)
0x8008D158,wm_80097770,state 0x21; (1,2) then sh slot_idx at pool+0x86
0x8008D198,wm_8008DFF4,state 0x30; a0=slot+0x28
0x8008D1BC,rcos,state 0x30 heading from pool+0x3F8; facing *96
0x8008D1E0,rsin,state 0x30; Z += -rsin*96
0x8008D210,wm_800941C4,state 0x30; falls into 0x31
0x8008D234,func_800245D8,state 0x30; a1=1
0x8008D24C,wm_8008BEC8,state 0x31
0x8008D264,func_800245D8,state 0x31 8BEC8==3; a1=0
0x8008D388,wm_80074794,common tail tag=1 unless state==2 or (MODE_FLAG!=2 && 0x8006F368==7)
