function,site,callee,arguments,return_use,status
wm_80085158,0x80085270,ScaleMatrix (0x80049DCC),"m=0x1F8000F0, v=0x1F800010 (0x800 triple)",m (ignored),CANONICAL (PsyCross)
wm_80085158,0x8008527C,SetRotMatrix (0x80049EFC),m=0x1F8000F0,none,CANONICAL (PsyCross)
wm_80085158,0x80085288,SetTransMatrix (0x80049F8C),m=0x1F8000F0,none,CANONICAL (PsyCross)
wm_80085158,0x800852BC,RotTrans (0x8004A6DC),"v0=verts+8*lh(node+0), out=0x1F800000, flag=sp+0x10",none,CANONICAL (PsyCross)
wm_80085158,0x800852D8,RotTrans (0x8004A6DC),"v0=verts+8*lh(node+2), out=0x1F800010, flag=sp+0x10",none,CANONICAL (PsyCross)
wm_80085158,0x800852F4,RotTrans (0x8004A6DC),"v0=verts+8*lh(node+4), out=0x1F800020, flag=sp+0x10",none,CANONICAL (PsyCross)
wm_80085158,0x80085390,OuterProduct0 (0x8004A4D8),"v0=0x1F800020 (V2-V0), v1=0x1F800010 (V1-V0), out=0x1F800020 (ALIASES v0)",none,CANONICAL (PsyCross)
wm_80085158,0x800853D8,VectorNormal (0x80048D7C),"in=0x1F800020 (cross sra 2), out=normal_out",ignored,CANONICAL (PsyCross)
wm_80085158,0x800853E8,wm_800935DC,"a0=coef_out, a1=0x1F800000 (transformed V0), a2=normal_out",returned as own $v0,CANONICAL (accepted plane solver)
caller,0x800956A0,wm_80085158,"(0x1F800060, 0x1F800070, 0x1F800080, attr, node_id)",v0 ignored,retail caller wm_80095414 case-1 loop (not yet implemented)
caller,0x800957EC,wm_80085158,"(0x1F800060, 0x1F800070, 0x1F800080, attr, s0&0xFFFF)",v0 ignored,retail caller wm_80095414 jump-table slot 0
