direction,function,site,callee_or_caller,arguments,status
callee,wm_80085418,0x80085508,ScaleMatrix (0x80049DCC),"m=0x1F8000F0, v=0x1F800010 (0x800^3)",CANONICAL PsyCross
callee,wm_80085418,0x80085514,SetRotMatrix (0x80049EFC),m=0x1F8000F0,CANONICAL PsyCross
callee,wm_80085418,0x80085520,SetTransMatrix (0x80049F8C),m=0x1F8000F0,CANONICAL PsyCross
callee,wm_80085418,0x80085558,RotTrans (0x8004A6DC),"v0=vtx[idx0], v1=0x1F800000, flag=sp+0x10",CANONICAL PsyCross
callee,wm_80085418,0x80085574,RotTrans (0x8004A6DC),"v0=vtx[idx1], v1=0x1F800010, flag=sp+0x10",CANONICAL PsyCross
callee,wm_80085418,0x80085590,RotTrans (0x8004A6DC),"v0=vtx[idx2], v1=0x1F800020, flag=sp+0x10",CANONICAL PsyCross
callee,wm_80085418,0x8008562C,OuterProduct0 (0x8004A4D8),"v0=0x1F800020 (V2-V0), v1=0x1F800010 (V1-V0), v2=0x1F800020",CANONICAL PsyCross
callee,wm_80085418,0x80085678,VectorNormal (0x80048D7C),"v0=0x1F800020 (>>2), v1=0x1F800030",CANONICAL PsyCross
callee,wm_80085418,0x80085710,ApplyMatrixLV (0x8004947C),"m=0x1F800110 (probe rows), v0=0x1F800030, v1=0x1F800040",CANONICAL PsyCross
caller,wm_80095414,0x80095628,wm_80085418,"(0x1F800060, 0x70, lhu sp[0x18], lhu cand)",MISSING body (keystone)
caller,wm_80095CD4,0x80095EB0,wm_80085418,"(same shape, a1=0x70 immediate)",MISSING body (un-audited sibling)
