function,site,callee,arguments,return_use,status
wm_80084D00,0x80084D50,wm_80084DB8,"(pos_vec, sign16(i))",sign16-truncated; nonzero = hit,this rung
wm_80084DB8,0x80084EFC,ScaleMatrix,"(0x1F8000F0, 0x1F800000 scale vec)",matrix scaled in place,CANONICAL (PsyCross)
wm_80084DB8,0x80084F08,SetRotMatrix,(0x1F8000F0),GTE rot state,CANONICAL (PsyCross)
wm_80084DB8,0x80084F14,SetTransMatrix,(0x1F8000F0),GTE trans state,CANONICAL (PsyCross)
wm_80084DB8,0x80084F8C/0x80084FC8/0x80085008,inline MVMVA 0x4A480012,"(V0 = vertex s16 triple; rot/TR from GTE state)",MAC1..3 -> scratch 0x00/0x10/0x20,bound to canonical RotTrans (identical opcode + stores; FLAG dead)
wm_80084DB8,0x80085058,NormalClip (0x8004A70C),"(pack(V0), pack(V1), point)",>0 skips node,CANONICAL (native NormalClip; W34B24-I4 binding)
wm_80084DB8,0x8008509C,NormalClip,"(pack(V1), pack(V2), point)",>0 skips node,CANONICAL
wm_80084DB8,0x800850DC,NormalClip,"(pack(V2), pack(V0), point)",>0 skips node,CANONICAL
caller,0x800955F4,wm_80084D00,"(0x1F800060, sp+0x18)",candidate count (step 2),retail caller wm_80095414 case-1 (no body yet)
caller,0x80095E78,wm_80084D00,-,-,retail caller inside unaudited 0x80095CD4 sibling
