site,callee,arguments,status
0x800954A8,wm_80093354,(0x1F800060),CANONICAL
0x80095528,wm_80093354,(out_vec),CANONICAL
0x800954C0,wm_80093978,"(sc60, sc68) by value",CANONICAL
0x80095538,wm_80093978,"(out0, out8) by value",CANONICAL
0x800955A8,wm_800951A8,DEAD ARM (v1==0 skeleton; not transcribed),documented
0x80095720,wm_800951A8,"(pos, dir, out, scale, mode) case-1 fallback",CANONICAL
0x80095B3C,wm_800951A8,"(pos, dir, out, scale, mode) dispatch fallback",CANONICAL
0x800955F4,wm_80084D00,"(0x1F800060, frame attr slot)",CANONICAL
0x80095628,wm_80085418,"(0x1F800060, 0x70, lhu attr, lhu cand.id)",CANONICAL
0x800956A0,wm_80085158,"(0x60, 0x70, 0x80, lhu attr, id&0xFFFF) loop2",CANONICAL
0x800957EC,wm_80085158,"(0x60, 0x70, 0x80, lhu attr, s0&0xFFFF) slot0",CANONICAL
0x800957A0,wm_80085760,"(pos_vec, 0x1F800060, lh attr, sign16(s0))",CANONICAL
0x80095A20,wm_800952B0,"(dir, out, 0x1F800030) redirect A",CANONICAL
0x80095B90,wm_800952B0,"(dir, out, 0x1F800040) redirect B",CANONICAL
0x80095BD0,wm_800952B0,"(dir, out, 0x1F800050) redirect C",CANONICAL
0x800956FC,wm_80095324,"(0x1F800080, dir, out) case-1 no-hit",CANONICAL
caller,wm_8008A72C,"2 sites (0x8008A958, 0x8008A9AC) — live frontier, no body",MISSING
caller,wm_8008C844,"2 sites",MISSING
caller,wm_8008E0F0,"1 site",MISSING
caller,wm_8008E76C,"4 sites",MISSING
