block,va_range,role,in_edges,out_edges,calls,notes
entry,0x80095414-0x80095544,prologue + projected position/heading,function entry,mode_select,"wm_80093354(0x1F800060), wm_80093978(sc60,sc68), wm_80093354(out), wm_80093978(out0,out8)","sc[0x60]=a0[0]+((s6[0]*a3)>>12); sc[0x68]=a0[8]+((s6[8]*a3)>>12); sc[0x64]=angle-0x4000; out[0]/out[8] same projection; out[4]=angle-0x4000; fp=0x1F800000; mult/mflo + sra12"
mode_select,0x80095548-0x80095564,cache-flag test,entry,"case1 (flag==-1), case3 (else); dead arms v1==0/2/>=4","-","v1 = (D_8009C840==-1) ? 1 : 3; switch skeleton has dead arms 0x80095598 (v1==0) and return-s5 arms (uninit s5) - retail-unreachable"
case1_lookup,0x800955EC-0x80095604,candidate lookup,mode_select,"case1_none (s4==0), case1_loop1","wm_80084D00(0x1F800060, sp+0x18)","s4=count(step 2); sp[0x18]=attr out"
case1_loop1,0x80095608-0x8009564C,candidate filter loop,case1_lookup,"self, case1_loop1_done","wm_80085418(fp+0x60, 0x70, lhu sp[0x18], lhu cand[i])","cand array D_8009D718, 4-byte records; result==0 -> cand.id=-1, s2+=2; s5=-1 preset"
case1_loop1_done,0x80095650-0x8009565C,all-filtered test,case1_loop1,"case1_none (s2==s4), case1_loop2","-","delay slot sets s5=0 entering loop2"
case1_loop2,0x80095660-0x800956E8,proximity scan,case1_loop1_done,"self, case1_hit, case1_post","wm_80085158(fp+0x60,0x70,0x80, lhu sp[0x18], id)","skip id==-1 or flag(+2)==1; test |fp[0x74] - (a0[4]>>12)| < 11"
case1_hit,0x800955C8-0x800955E8,height snap + cache,case1_loop2,case1_post,"-","out[4]=fp[0x74]<<12; D_8009C840=lh sp[0x18]; D_8009C16C=lh cand.id; s5=1"
case1_post,0x800956EC-0x80095708,post-scan,"case1_loop2, case1_hit","return (s5!=0), 95324_path","wm_80095324(0x1F800080, s6, out) when s5==0","return s5 (1 on hit, 0 after 95324)"
case1_none,0x8009570C-0x80095744,no-candidate fallback,"case1_lookup, case1_loop1_done",return,"wm_800951A8(a0, s6, out, a3, sp[0xC8])","D_8009C16C=-1; D_8009C840=-1; return r"
case3_prep,0x80095748-0x80095790,node-record fetch,mode_select,dispatch_loop,"-","rec = *(D_8009C620) + 84*sign16(D_8009C840); s2 = rec[+0x44] + 8 (14-byte node records); s0 = lhu D_8009C16C; sp[0x18]=attr; s7=-1; s4=1 (set at 0x80095594)"
dispatch_loop,0x80095794-0x800957CC,classify + jump table,"case3_prep, loop_tail (s4!=0)","jt[0..7] via jr, loop_tail (s1>=8)","wm_80085760(sp[0x20], fp+0x60, lh sp[0x18], sign16(s0))","s1 = result; sltiu s1,8 guard; lw jt = 0x80070C80[s1*4]; jr"
jt0_land,0x800957D0-0x80095820,slot 0 terminal,dispatch_loop,loop_tail,"wm_80085158(fp+0x60,0x70,0x80, lhu sp[0x18], s0&0xFFFF)","s5=1; s4=0; caches updated; out[4]=fp[0x74]<<12"
jt1_p6,0x80095824-0x8009586C,slot 1 walk/redirect,dispatch_loop,"fallback_951a8 (link==-1), loop_tail (type!=1, s0=link), tail_952b0_30 (type==1)","-","node[+6] link"
jt2_p8,0x80095874-0x800958C0,slot 2 walk/redirect,dispatch_loop,"fallback_951a8, loop_tail (s0=link), tail_952b0_40","-","node[+8] link"
jt4_pA,0x800958C4-0x80095904,slot 4 walk/redirect,dispatch_loop,"fallback_951a8, type_check_50 (0x95BB8)","-","node[+0xA] link"
jt3_pair68,0x80095908-0x800159E8+,slot 3 pair resolver,dispatch_loop,"fallback_951a8 (mask 0), tail_952b0_30, tail_952b0_40, loop_tail, tie_break_68 (0x95A30)","-","mask on links +6/+8"
tie_break_68,0x80095A30-0x80095AAC,slot 3 mask==3,jt3_pair68,"zero_out (v==0), loop_tail s0=node[+6] (v==1/3), loop_tail s0=b (v==2)","-","v = (typeA==0) | (typeB!=0)<<1"
jt5_pair6A,0x80095988-0x800959E4,slot 5 pair resolver,dispatch_loop,"fallback_951a8, tail_952b0_30, tail_952b0_50 (0x95BA0), tie_break_6A (0x95BE0), loop_tail","-","links +6/+0xA"
jt6_pair8A,0x80095AB0-0x80095B24,slot 6 pair resolver,dispatch_loop,"fallback_951a8 (mask 0), tail_952b0_40 (via 0x95B60), tail_952b0_50 (0x95BA0), tie_break_6A (0x95BE0), loop_tail","-","links +8/+0xA"
tie_break_6A,0x80095BE0-0x80095C50,slots 5/6 mask==3,"jt5_pair6A, jt6_pair8A","zero_out (v==0), follow_p8 (v==1/3 via 0x95C6C/0x95C70), loop_tail s0=b (v==2 via 0x95C90)","-","v = (typeA==0) | (typeB!=0)<<1"
fallback_951a8,0x80095B28-0x80095B5C,shared 951A8 fallback,"jt1, jt2, jt4, jt3 mask0, jt6 mask0","loop_tail (s4=0)","wm_800951A8(a0, s6, out, a3, sp[0xC8])","s5=r; D_8009C16C=-1; D_8009C840=-1; s4=0"
tail_952b0_30,0x80095A14-0x80095A2C,redirect A,"jt1 type==1, jt3 mask1 type==1",loop_tail,"wm_800952B0(s6, out, fp+0x30)","s5=0; s4=0"
tail_952b0_40,0x80095B84-0x80095B9C,redirect B,"jt2 type==1, jt3 mask2 type==1, jt6 mask1 type==1",loop_tail,"wm_800952B0(s6, out, fp+0x40)","s5=0; s4=0"
tail_952b0_50,0x80095BB8-0x80095BDC,redirect C,"jt4 type==1, jt5/jt6 mask2 type==1 (via 0x95BA0)","loop_tail; type!=1 -> loop_tail with s4 unchanged","wm_800952B0(s6, out, fp+0x50)","s5=0; s4=0"
zero_out,0x80095C54-0x80095C68,tie-break dead-end,"tie_break_68 v==0, tie_break_6A v==0",loop_tail,"-","out zeroed store order +8 +4 +0; s5=0; s4=0"
loop_tail,0x80095C94-0x80095C98,loop control,"all cases","dispatch_loop (s4!=0), epilogue (s4==0)","-","bnez s4 -> 0x80095794 with a1=fp+0x60"
epilogue,0x80095C9C-0x80095CD0,return,"loop_tail, dead arms","caller","-","v0=s5; restore s0-s7/fp/ra; sp+=0xB8"
