direction,function,site,target,status,notes
callee,wm_80084D00,0x80084D50,wm_80084DB8,this ladder,per-region probe
callee,wm_80084DB8,0x80084EFC,ScaleMatrix (0x80049DCC),CANONICAL,PsyCross
callee,wm_80084DB8,0x80084F08,SetRotMatrix (0x80049EFC),CANONICAL,PsyCross
callee,wm_80084DB8,0x80084F14,SetTransMatrix (0x80049F8C),CANONICAL,PsyCross
callee,wm_80084DB8,0x80085058,func_8004A70C = NormalClip,CANONICAL via PsyCross NormalClip,edge (V0,V1); rebinding needed (auto-stub returns 0 today)
callee,wm_80084DB8,0x8008509C,func_8004A70C = NormalClip,CANONICAL via PsyCross NormalClip,edge (V1,V2)
callee,wm_80084DB8,0x800850DC,func_8004A70C = NormalClip,CANONICAL via PsyCross NormalClip,edge (V2,V0)
inline,wm_80084DB8,0x80084F8C/0x80084FC8/0x80085008,GTE MVMVA 0x4A480012,needs native equivalent,sf=1 rot*V0+TR; MAC1..3 consumed
inline,wm_80084DB8,0x80084F9C/0x80084FDC/0x8008501C,cfc2 FLAG 0x484CF800,dead store,FLAG -> sp[0x10]; never read
caller,wm_80095414,0x800955F4,wm_80084D00,pending (95414 unimplemented),case-1 candidate lookup
caller,fn_0x80095CD4,0x80095E78,wm_80084D00,unaudited neighbor,next function after 95414; not yet in ladder scope
caller,wm_80084D00,0x80084D50,wm_80084DB8,-,sole caller of 84DB8
caller,wm_80085760,0x800859BC/0x80085A1C/0x80085A7C/0x80085B30/0x80085BA0/0x80085C10,func_8004A70C,accepted binding precedent,already externed as NormalClip by name in world_map_helper_85760.c
caller,wm_80094A5C,0x80094CA4/0x80094DFC/0x80094F30/0x80095080,func_8004A70C,LIVE FIDELITY GAP,externs func_8004A70C; auto-stub returns 0 natively
