function,block,va_range,role,out_edges,calls,notes
wm_80084D00,entry,0x80084D00-0x80084D34,prologue + count/base fetch,"loop_head (count>0), ret0 (blez)","-","count=lh[0x8009D7E0]; rec=lw[0x8009C620]; i=0"
wm_80084D00,loop_head,0x80084D38-0x80084D48,flag test,"call_block (rec[4]&1), next","-","lhu rec+4, andi 1"
wm_80084D00,call_block,0x80084D4C-0x80084D6C,probe region,"hit (r!=0), next","wm_80084DB8(pos,(s16)i)","r sign16-truncated; hit: sh i,(out); return r"
wm_80084D00,next,0x80084D70-0x80084D90,advance,"loop_head ((s16)(i+1)<count reload), ret0","-","i++; rec+=0x54"
wm_80084D00,ret0,0x80084D94,zero return,epilogue,"-","v0=0"
wm_80084D00,epilogue,0x80084D98-0x80084DB4,return,caller,"-","restore s0-s3/ra"
wm_80084DB8,entry,0x80084DB8-0x80084E5C,prologue + range gates,"reject (either |d|>=0x800), setup","-","rec=base+84*idx; dx=(pos[0]>>12)-rec[8] -> sc[0x40]; dz=rec[0x10]-(pos[8]>>12) -> sc[0x48]"
wm_80084DB8,reject,0x80084E68-0x80084E6C,out of range,epilogue,"-","v0=0"
wm_80084DB8,setup,0x80084E70-0x80084F18,matrix setup,"vert_loop_pre","ScaleMatrix(0x1F8000F0,0x1F800000), SetRotMatrix(0xF0), SetTransMatrix(0xF0)","MATRIX copy rec[0x20..0x3F]->sc 0xF0; trans=(0,rec[0xC],0); scale=(0x800,0x800,0x800); fp=0"
wm_80084DB8,vert_loop_pre,0x80084F1C-0x80084F68,mesh header fetch,"node_loop (count>0), done","-","hdr=rec[0x44]; count=hdr[0]->sp[0x18]; verts=hdr[4]; point=(dz<<16)|lhu(dx) -> sc[0x38]; cand ptrs s3=0x8009D718 s4=+2"
wm_80084DB8,node_loop,0x80084F6C-0x80085024,transform 3 verts,"edge_tests","-","MVMVA sf=1 x3 on verts[node+0/+2/+4]; MAC1/2/3 -> sc 0x00/0x10/0x20; cfc2 FLAG -> sp[0x10] (dead) x3"
wm_80084DB8,edge_tests,0x80085028-0x800850E0,3x NormalClip,"accept (all<=0), skip (any bgtz)","func_8004A70C x3 = NormalClip(pack(Vi),pack(Vj),point)","pairs (V0,V1),(V1,V2),(V2,V0); packs staged sc[0x30]/[0x34]"
wm_80084DB8,accept,0x800850EC-0x80085100,record candidate,"advance","-","sh n->(s3),s3+=4; sh node[+0xC]->(s4),s4+=4; fp+=2"
wm_80084DB8,advance,0x80085104-0x8008511C,next node,"node_loop (n<count), done","-","n++; s1+=0xE; s7+=0xE (delay)"
wm_80084DB8,done,0x80085120,result,epilogue,"-","v0=fp"
wm_80084DB8,epilogue,0x80085124-0x80085154,return,caller,"-","restore s0-s7/fp/ra; sp+=0x50"
