direction,function,site,status,arguments,return_use
callee,ScaleMatrix (0x80049DCC),0x80085508,CANONICAL,"m=0x1F8000F0, v=0x1F800010 (0x800 x3)",ignored
callee,SetRotMatrix (0x80049EFC),0x80085514,CANONICAL,m=0x1F8000F0,none (GTE state)
callee,SetTransMatrix (0x80049F8C),0x80085520,CANONICAL,m=0x1F8000F0,none (GTE state)
callee,RotTrans (0x8004A6DC),0x80085558,CANONICAL,"v0=vtxbase+idx0*8, v1=0x1F800000, flag=sp+0x10",out vector consumed
callee,RotTrans (0x8004A6DC),0x80085574,CANONICAL,"v0=vtxbase+idx1*8, v1=0x1F800010, flag=sp+0x10",out vector consumed
callee,RotTrans (0x8004A6DC),0x80085590,CANONICAL,"v0=vtxbase+idx2*8, v1=0x1F800020, flag=sp+0x10",out vector consumed
callee,OuterProduct0 (0x8004A4D8),0x8008562C,CANONICAL,"v0=0x1F800020 (edge2), v1=0x1F800010 (edge1), out=0x1F800020",face normal (in place)
callee,VectorNormal (0x80048D7C),0x80085678,CANONICAL,"v0=0x1F800020, v1=0x1F800030",unit normal consumed; $v0 ignored
callee,ApplyMatrixLV (0x8004947C),0x80085710,CANONICAL,"m=0x1F800110 (packed SVECTOR pair; row2 uninitialized), v0=0x1F800030, v1=0x1F800040",dots at 0x40/0x44 consumed; 0x48 dead
caller,wm_80095414,0x80095628,MISSING body,"(0x1F800060, 0x70, attr, candidate_id)",result==0 discards candidate (loop 1 filter)
caller,wm_80095CD4,0x80095EB0,MISSING body (un-audited),"(0x1F800060, 0x70, attr, id)",unknown (same arg shape)
