map	status	actors	defects
0	LOADED	model-build count=5 / actors=27	-
1	LOADED	model-build count=96 / actors=143	-
2	LOADED	model-build count=65 / actors=104	-
3	LOADED	model-build count=35 / actors=56	-
4	LOADED	model-build count=2 / actors=15	-
5	LOADED	model-build count=22 / actors=38	-
6	LOADED	model-build count=23 / actors=37	-
7	LOADED	model-build count=19 / actors=27	-
8	LOADED	model-build count=13 / actors=20	-
9	LOADED	model-build count=21 / actors=41	-
10	LOADED	model-build count=12 / actors=25	-
11	LOADED	model-build count=20 / actors=34	-
12	LOADED	model-build count=17 / actors=32	-
13	LOADED	model-build count=19 / actors=38	-
14	LOADED	model-build count=27 / actors=52	-
15	LOADED	model-build count=67 / actors=109	-
16	LOADED	model-build count=3 / actors=11	-
17	LOADED	model-build count=90 / actors=132	-
18	LOADED	model-build count=12 / actors=25	-
19	LOADED	model-build count=27 / actors=46	-
20	LOADED	model-build count=17 / actors=33	-
21	LOADED	model-build count=27 / actors=46	-
22	LOADED	model-build count=49 / actors=82	-
23	LOADED	model-build count=47 / actors=71	-
24	LOADED	model-build count=26 / actors=44	-
25	LOADED	model-build count=27 / actors=34	-
26	LOADED	model-build count=27 / actors=36	-
27	LOADED	model-build count=15 / actors=22	-
28	LOADED	model-build count=39 / actors=45	-
29	LOADED	model-build count=25 / actors=41	-
30	LOADED	model-build count=29 / actors=48	-
31	LOADED	model-build count=33 / actors=48	-
32	LOADED	model-build count=51 / actors=66	-
33	LOADED	model-build count=19 / actors=34	-
34	LOADED	model-build count=33 / actors=47	-
35	LOADED	model-build count=91 / actors=130	-
36	LOADED	model-build count=14 / actors=30	-
37	LOADED	model-build count=27 / actors=46	-
38	LOADED	model-build count=20 / actors=35	-
39	LOADED	model-build count=1 / actors=17	-
40	LOADED	model-build count=45 / actors=68	-
41	LOADED	model-build count=0 / actors=1	-
42	LOADED	model-build count=5 / actors=11	-
43	LOADED	model-build count=34 / actors=49	-
44	LOADED	model-build count=59 / actors=79	-
45	LOADED	model-build count=39 / actors=64	-
46	DIED	model-build count=3 / actors=20	-
47	DIED	model-build count=11 / actors=36	-
48	LOADED	model-build count=1 / actors=23	-
49	LOADED	model-build count=34 / actors=40	-
50	LOADED	model-build count=13 / actors=22	-
51	LOADED	model-build count=13 / actors=27	-
52	LOADED	model-build count=27 / actors=43	-
53	LOADED	model-build count=1 / actors=12	-
54	LOADED	model-build count=3 / actors=14	-
55	LOADED	model-build count=19 / actors=33	-
56	LOADED	model-build count=7 / actors=14	-
57	LOADED	model-build count=3 / actors=11	-
58	LOADED	model-build count=57 / actors=76	-
59	LOADED	model-build count=21 / actors=31	-
60	LOADED	model-build count=31 / actors=46	-
61	LOADED	model-build count=16 / actors=25	-
62	LOADED	model-build count=24 / actors=33	-
63	DIED	model-build count=13 / actors=19	Assertion,
64	DIED	model-build count=54 / actors=77	Assertion,
65	DIED	model-build count=33 / actors=52	Assertion,
66	DIED	model-build count=26 / actors=44	Assertion,
67	DIED	model-build count=3 / actors=11	Assertion,
68	DIED	model-build count=4 / actors=12	Assertion,
69	DIED	model-build count=53 / actors=70	Assertion,
