pc,opcode,address,width,signedness,region,meaning
80093744,sw,sp+0x1C,32,bits,stack,save s3
8009374C,sw,sp+0x10,32,bits,stack,save s0
80093754,sw,sp+0x14,32,bits,stack,save s1
80093764,sw,sp+0x20,32,bits,stack,save ra
8009376C,sw,sp+0x18,32,bits,stack,save s2 in jal delay slot
8009379C,lbu,cell+0x01,8,unsigned,terrain,diagonal flag
800937B4,lw,0x8009B254,32,signed,global,flag-1 X coefficient
800937C8,lw,0x8009B25C,32,signed,global,flag-1 Z coefficient
800937E4,sw,0x1F800000,32,signed,scratchpad,edge0 X
800937F0,sw,0x1F800008,32,signed,scratchpad,edge0 Z
800937F8,sw,0x1F800010,32,signed,scratchpad,edge1 X
80093800,sw,0x1F800018,32,signed,scratchpad,edge1 Z
80093804,lb,cell+0x28,8,signed,terrain,h11
80093808,lb,cell+0x00,8,signed,terrain,h00
80093818,sw,0x1F800004,32,signed,scratchpad,edge0 Y
8009381C,lb,cell+0x24,8,signed,terrain,h01
80093820,lb,cell+0x00,8,signed,terrain,h00
8009382C,sw,0x1F800000,32,signed,scratchpad,edge0 X
80093834,sw,0x1F800010,32,signed,scratchpad,edge1 X
80093840,sw,0x1F800008,32,signed,scratchpad,edge0 Z
80093848,sw,0x1F800018,32,signed,scratchpad,edge1 Z
8009384C,lb,cell+0x04,8,signed,terrain,h10
80093850,lb,cell+0x00,8,signed,terrain,h00
80093860,sw,0x1F800004,32,signed,scratchpad,edge0 Y
80093864,lb,cell+0x28,8,signed,terrain,h11
80093868,lb,cell+0x00,8,signed,terrain,h00
8009387C,lw,0x8009B244,32,signed,global,flag-0 X coefficient
80093890,lw,0x8009B24C,32,signed,global,flag-0 Z coefficient
800938AC,sw,0x1F800000,32,signed,scratchpad,edge0 X
800938B4,sw,0x1F800008,32,signed,scratchpad,edge0 Z
800938BC,sw,0x1F800010,32,signed,scratchpad,edge1 X
800938C4,sw,0x1F800018,32,signed,scratchpad,edge1 Z
800938C8,lb,cell+0x24,8,signed,terrain,h01
800938CC,lb,cell+0x04,8,signed,terrain,h10
800938DC,sw,0x1F800004,32,signed,scratchpad,edge0 Y
800938E0,lb,cell+0x00,8,signed,terrain,h00
800938EC,sw,0x1F800000,32,signed,scratchpad,edge0 X
800938F4,sw,0x1F800008,32,signed,scratchpad,edge0 Z
800938FC,sw,0x1F800010,32,signed,scratchpad,edge1 X
80093904,sw,0x1F800018,32,signed,scratchpad,edge1 Z
80093908,lb,cell+0x28,8,signed,terrain,h11
8009390C,lb,cell+0x04,8,signed,terrain,h10
8009391C,sw,0x1F800004,32,signed,scratchpad,edge0 Y
80093920,lb,cell+0x24,8,signed,terrain,h01
80093924,lb,cell+0x04,8,signed,terrain,h10
80093934,sw,0x1F800014,32,signed,scratchpad,edge1 Y
80093944,call-write,0x1F800020..0x1F80002B,32x3,signed,scratchpad,OuterProduct0 cross output
80093950,call-write,a0+0x00..a0+0x0B,32x3,signed,caller output,VectorNormal output
80093958,lw,sp+0x20,32,bits,stack,restore ra
8009395C,lw,sp+0x1C,32,bits,stack,restore s3
80093960,lw,sp+0x18,32,bits,stack,restore s2
80093964,lw,sp+0x14,32,bits,stack,restore s1
80093968,lw,sp+0x10,32,bits,stack,restore s0
