object,offset,width,signedness,access,meaning
argument a0,0,32-bit guest address,unsigned,read,output VECTOR address in main RAM or scratchpad
argument a1,0,32-bit scalar,signed,read,X coordinate passed unchanged to wm_80093660
argument a2,0,32-bit scalar,signed,read,Z coordinate passed unchanged to wm_80093660
terrain cell,0x00,8,signed,read,h00 current sample
terrain cell,0x01,8,unsigned,read,bit 7 diagonal family flag
terrain cell,0x04,8,signed,read,h10 adjacent X sample
terrain cell,0x24,8,signed,read,h01 adjacent Z sample
terrain cell,0x28,8,signed,read,h11 diagonal sample
global,0x8009B244,32,signed,read,flag-0 X selection coefficient
global,0x8009B24C,32,signed,read,flag-0 Z selection coefficient
global,0x8009B254,32,signed,read,flag-1 X selection coefficient
global,0x8009B25C,32,signed,read,flag-1 Z selection coefficient
scratchpad,0x00,32x3,signed,write,edge0 vx/vy/vz; pad at +0x0C preserved
scratchpad,0x10,32x3,signed,write,edge1 vx/vy/vz; pad at +0x1C preserved
scratchpad,0x20,32x3,signed,write,cross vx/vy/vz from OuterProduct0; pad at +0x2C preserved
output,0x00,32,signed,write,normalized X
output,0x04,32,signed,write,normalized Y
output,0x08,32,signed,write,normalized Z
output,0x0C,32,unchanged,none,VECTOR pad is not written
return v0,0,32,signed,return,VectorNormal squared-length result
return v1,0,unspecified,unspecified,clobbered,no caller-observable contract
